day_nr,item_name,value,unit,pretty_item_name,pretty_val,day_name,dom,month
0,timestamp,2023-06-17 12:00:00,,timestamp ,Sat 17th Jun,Sat,17th,Jun
0,Wind Direction,SE,compass, Wind Direction,SE,Sat,17th,Jun
0,Feels Like Temperature,21,C, Feels ,21°C,Sat,17th,Jun
0,Wind Gust,16,mph,Wind Gust,16 mph,Sat,17th,Jun
0,Screen Relative Humidity,46,%,Humidity,46 %,Sat,17th,Jun
0,Precipitation Probability,12,%,Rain ,12 %,Sat,17th,Jun
0,Wind Speed,7,mph,Wind Speed ,7 mph,Sat,17th,Jun
0,Temperature,23,C, Temp,23°C,Sat,17th,Jun
0,Visibility,VG,,Visibility ,VG ,Sat,17th,Jun
0,Weather Type,7,,Weather Type ,7 ,Sat,17th,Jun
0,Max UV Index,7,,Max UV,7 ,Sat,17th,Jun
0,timestamp,2023-06-17 15:00:00,,timestamp ,Sat 17th Jun,Sat,17th,Jun
0,Wind Direction,SE,compass, Wind Direction,SE,Sat,17th,Jun
0,Feels Like Temperature,22,C, Feels ,22°C,Sat,17th,Jun
0,Wind Gust,18,mph,Wind Gust,18 mph,Sat,17th,Jun
0,Screen Relative Humidity,43,%,Humidity,43 %,Sat,17th,Jun
0,Precipitation Probability,14,%,Rain ,14 %,Sat,17th,Jun
0,Wind Speed,9,mph,Wind Speed ,9 mph,Sat,17th,Jun
0,Temperature,23,C, Temp,23°C,Sat,17th,Jun
0,Visibility,VG,,Visibility ,VG ,Sat,17th,Jun
0,Weather Type,7,,Weather Type ,7 ,Sat,17th,Jun
0,Max UV Index,4,,Max UV,4 ,Sat,17th,Jun
0,timestamp,2023-06-17 18:00:00,,timestamp ,Sat 17th Jun,Sat,17th,Jun
0,Wind Direction,SE,compass, Wind Direction,SE,Sat,17th,Jun
0,Feels Like Temperature,21,C, Feels ,21°C,Sat,17th,Jun
0,Wind Gust,16,mph,Wind Gust,16 mph,Sat,17th,Jun
0,Screen Relative Humidity,47,%,Humidity,47 %,Sat,17th,Jun
0,Precipitation Probability,16,%,Rain ,16 %,Sat,17th,Jun
0,Wind Speed,7,mph,Wind Speed ,7 mph,Sat,17th,Jun
0,Temperature,22,C, Temp,22°C,Sat,17th,Jun
0,Visibility,VG,,Visibility ,VG ,Sat,17th,Jun
0,Weather Type,7,,Weather Type ,7 ,Sat,17th,Jun
0,Max UV Index,1,,Max UV,1 ,Sat,17th,Jun
0,timestamp,2023-06-17 21:00:00,,timestamp ,Sat 17th Jun,Sat,17th,Jun
0,Wind Direction,SE,compass, Wind Direction,SE,Sat,17th,Jun
0,Feels Like Temperature,18,C, Feels ,18°C,Sat,17th,Jun
0,Wind Gust,11,mph,Wind Gust,11 mph,Sat,17th,Jun
0,Screen Relative Humidity,60,%,Humidity,60 %,Sat,17th,Jun
0,Precipitation Probability,13,%,Rain ,13 %,Sat,17th,Jun
0,Wind Speed,7,mph,Wind Speed ,7 mph,Sat,17th,Jun
0,Temperature,19,C, Temp,19°C,Sat,17th,Jun
0,Visibility,VG,,Visibility ,VG ,Sat,17th,Jun
0,Weather Type,7,,Weather Type ,7 ,Sat,17th,Jun
0,Max UV Index,0,,Max UV,0 ,Sat,17th,Jun
0,timestamp,2023-06-18 00:00:00,,timestamp ,Sun 18th Jun,Sun,18th,Jun
0,Wind Direction,SE,compass, Wind Direction,SE,Sun,18th,Jun
0,Feels Like Temperature,16,C, Feels ,16°C,Sun,18th,Jun
0,Wind Gust,11,mph,Wind Gust,11 mph,Sun,18th,Jun
0,Screen Relative Humidity,74,%,Humidity,74 %,Sun,18th,Jun
0,Precipitation Probability,12,%,Rain ,12 %,Sun,18th,Jun
0,Wind Speed,7,mph,Wind Speed ,7 mph,Sun,18th,Jun
0,Temperature,17,C, Temp,17°C,Sun,18th,Jun
0,Visibility,VG,,Visibility ,VG ,Sun,18th,Jun
0,Weather Type,7,,Weather Type ,7 ,Sun,18th,Jun
0,Max UV Index,0,,Max UV,0 ,Sun,18th,Jun
0,timestamp,2023-06-18 03:00:00,,timestamp ,Sun 18th Jun,Sun,18th,Jun
0,Wind Direction,ESE,compass, Wind Direction,ESE,Sun,18th,Jun
0,Feels Like Temperature,15,C, Feels ,15°C,Sun,18th,Jun
0,Wind Gust,11,mph,Wind Gust,11 mph,Sun,18th,Jun
0,Screen Relative Humidity,74,%,Humidity,74 %,Sun,18th,Jun
0,Precipitation Probability,11,%,Rain ,11 %,Sun,18th,Jun
0,Wind Speed,4,mph,Wind Speed ,4 mph,Sun,18th,Jun
0,Temperature,16,C, Temp,16°C,Sun,18th,Jun
0,Visibility,VG,,Visibility ,VG ,Sun,18th,Jun
0,Weather Type,7,,Weather Type ,7 ,Sun,18th,Jun
0,Max UV Index,0,,Max UV,0 ,Sun,18th,Jun
0,timestamp,2023-06-18 06:00:00,,timestamp ,Sun 18th Jun,Sun,18th,Jun
0,Wind Direction,ENE,compass, Wind Direction,ENE,Sun,18th,Jun
0,Feels Like Temperature,15,C, Feels ,15°C,Sun,18th,Jun
0,Wind Gust,11,mph,Wind Gust,11 mph,Sun,18th,Jun
0,Screen Relative Humidity,75,%,Humidity,75 %,Sun,18th,Jun
0,Precipitation Probability,12,%,Rain ,12 %,Sun,18th,Jun
0,Wind Speed,7,mph,Wind Speed ,7 mph,Sun,18th,Jun
0,Temperature,16,C, Temp,16°C,Sun,18th,Jun
0,Visibility,VG,,Visibility ,VG ,Sun,18th,Jun
0,Weather Type,7,,Weather Type ,7 ,Sun,18th,Jun
0,Max UV Index,1,,Max UV,1 ,Sun,18th,Jun
0,timestamp,2023-06-18 09:00:00,,timestamp ,Sun 18th Jun,Sun,18th,Jun
0,Wind Direction,SE,compass, Wind Direction,SE,Sun,18th,Jun
0,Feels Like Temperature,18,C, Feels ,18°C,Sun,18th,Jun
0,Wind Gust,16,mph,Wind Gust,16 mph,Sun,18th,Jun
0,Screen Relative Humidity,64,%,Humidity,64 %,Sun,18th,Jun
0,Precipitation Probability,16,%,Rain ,16 %,Sun,18th,Jun
0,Wind Speed,7,mph,Wind Speed ,7 mph,Sun,18th,Jun
0,Temperature,19,C, Temp,19°C,Sun,18th,Jun
0,Visibility,VG,,Visibility ,VG ,Sun,18th,Jun
0,Weather Type,7,,Weather Type ,7 ,Sun,18th,Jun
0,Max UV Index,3,,Max UV,3 ,Sun,18th,Jun
0,timestamp,2023-06-18 12:00:00,,timestamp ,Sun 18th Jun,Sun,18th,Jun
0,Wind Direction,SE,compass, Wind Direction,SE,Sun,18th,Jun
0,Feels Like Temperature,19,C, Feels ,19°C,Sun,18th,Jun
0,Wind Gust,16,mph,Wind Gust,16 mph,Sun,18th,Jun
0,Screen Relative Humidity,69,%,Humidity,69 %,Sun,18th,Jun
0,Precipitation Probability,36,%,Rain ,36 %,Sun,18th,Jun
0,Wind Speed,7,mph,Wind Speed ,7 mph,Sun,18th,Jun
0,Temperature,20,C, Temp,20°C,Sun,18th,Jun
0,Visibility,VG,,Visibility ,VG ,Sun,18th,Jun
0,Weather Type,10,,Weather Type ,10 ,Sun,18th,Jun
0,Max UV Index,5,,Max UV,5 ,Sun,18th,Jun
0,timestamp,2023-06-18 15:00:00,,timestamp ,Sun 18th Jun,Sun,18th,Jun
0,Wind Direction,ESE,compass, Wind Direction,ESE,Sun,18th,Jun
0,Feels Like Temperature,20,C, Feels ,20°C,Sun,18th,Jun
0,Wind Gust,16,mph,Wind Gust,16 mph,Sun,18th,Jun
0,Screen Relative Humidity,60,%,Humidity,60 %,Sun,18th,Jun
0,Precipitation Probability,18,%,Rain ,18 %,Sun,18th,Jun
0,Wind Speed,7,mph,Wind Speed ,7 mph,Sun,18th,Jun
0,Temperature,21,C, Temp,21°C,Sun,18th,Jun
0,Visibility,VG,,Visibility ,VG ,Sun,18th,Jun
0,Weather Type,7,,Weather Type ,7 ,Sun,18th,Jun
0,Max UV Index,4,,Max UV,4 ,Sun,18th,Jun
0,timestamp,2023-06-18 18:00:00,,timestamp ,Sun 18th Jun,Sun,18th,Jun
0,Wind Direction,ESE,compass, Wind Direction,ESE,Sun,18th,Jun
0,Feels Like Temperature,20,C, Feels ,20°C,Sun,18th,Jun
0,Wind Gust,11,mph,Wind Gust,11 mph,Sun,18th,Jun
0,Screen Relative Humidity,67,%,Humidity,67 %,Sun,18th,Jun
0,Precipitation Probability,39,%,Rain ,39 %,Sun,18th,Jun
0,Wind Speed,4,mph,Wind Speed ,4 mph,Sun,18th,Jun
0,Temperature,21,C, Temp,21°C,Sun,18th,Jun
0,Visibility,GO,,Visibility ,GO ,Sun,18th,Jun
0,Weather Type,10,,Weather Type ,10 ,Sun,18th,Jun
0,Max UV Index,1,,Max UV,1 ,Sun,18th,Jun
0,timestamp,2023-06-18 21:00:00,,timestamp ,Sun 18th Jun,Sun,18th,Jun
0,Wind Direction,E,compass, Wind Direction,E,Sun,18th,Jun
0,Feels Like Temperature,17,C, Feels ,17°C,Sun,18th,Jun
0,Wind Gust,9,mph,Wind Gust,9 mph,Sun,18th,Jun
0,Screen Relative Humidity,87,%,Humidity,87 %,Sun,18th,Jun
0,Precipitation Probability,21,%,Rain ,21 %,Sun,18th,Jun
0,Wind Speed,4,mph,Wind Speed ,4 mph,Sun,18th,Jun
0,Temperature,17,C, Temp,17°C,Sun,18th,Jun
0,Visibility,GO,,Visibility ,GO ,Sun,18th,Jun
0,Weather Type,7,,Weather Type ,7 ,Sun,18th,Jun
0,Max UV Index,0,,Max UV,0 ,Sun,18th,Jun
0,timestamp,2023-06-19 00:00:00,,timestamp ,Mon 19th Jun,Mon,19th,Jun
0,Wind Direction,ESE,compass, Wind Direction,ESE,Mon,19th,Jun
