day_nr,item_name,value,unit,pretty_item_name,pretty_val,day_name,dom,month
0,timestamp,2023-06-12 21:00:00,,timestamp ,Mon 12th Jun,Mon,12th,Jun
0,Wind Direction,NE,compass, Wind Direction,NE,Mon,12th,Jun
0,Feels Like Temperature,19,C, Feels ,19°C,Mon,12th,Jun
0,Wind Gust,13,mph,Wind Gust,13 mph,Mon,12th,Jun
0,Screen Relative Humidity,72,%,Humidity,72 %,Mon,12th,Jun
0,Precipitation Probability,2,%,Rain ,2 %,Mon,12th,Jun
0,Wind Speed,7,mph,Wind Speed ,7 mph,Mon,12th,Jun
0,Temperature,20,C, Temp,20°C,Mon,12th,Jun
0,Visibility,VG,,Visibility ,VG ,Mon,12th,Jun
0,Weather Type,2,,Weather Type ,2 ,Mon,12th,Jun
0,Max UV Index,0,,Max UV,0 ,Mon,12th,Jun
0,timestamp,2023-06-13 00:00:00,,timestamp ,Tue 13th Jun,Tue,13th,Jun
0,Wind Direction,ENE,compass, Wind Direction,ENE,Tue,13th,Jun
0,Feels Like Temperature,16,C, Feels ,16°C,Tue,13th,Jun
0,Wind Gust,13,mph,Wind Gust,13 mph,Tue,13th,Jun
0,Screen Relative Humidity,77,%,Humidity,77 %,Tue,13th,Jun
0,Precipitation Probability,1,%,Rain ,1 %,Tue,13th,Jun
0,Wind Speed,7,mph,Wind Speed ,7 mph,Tue,13th,Jun
0,Temperature,17,C, Temp,17°C,Tue,13th,Jun
0,Visibility,VG,,Visibility ,VG ,Tue,13th,Jun
0,Weather Type,0,,Weather Type ,0 ,Tue,13th,Jun
0,Max UV Index,0,,Max UV,0 ,Tue,13th,Jun
0,timestamp,2023-06-13 03:00:00,,timestamp ,Tue 13th Jun,Tue,13th,Jun
0,Wind Direction,ENE,compass, Wind Direction,ENE,Tue,13th,Jun
0,Feels Like Temperature,14,C, Feels ,14°C,Tue,13th,Jun
0,Wind Gust,13,mph,Wind Gust,13 mph,Tue,13th,Jun
0,Screen Relative Humidity,82,%,Humidity,82 %,Tue,13th,Jun
0,Precipitation Probability,1,%,Rain ,1 %,Tue,13th,Jun
0,Wind Speed,7,mph,Wind Speed ,7 mph,Tue,13th,Jun
0,Temperature,14,C, Temp,14°C,Tue,13th,Jun
0,Visibility,VG,,Visibility ,VG ,Tue,13th,Jun
0,Weather Type,0,,Weather Type ,0 ,Tue,13th,Jun
0,Max UV Index,0,,Max UV,0 ,Tue,13th,Jun
0,timestamp,2023-06-13 06:00:00,,timestamp ,Tue 13th Jun,Tue,13th,Jun
0,Wind Direction,ENE,compass, Wind Direction,ENE,Tue,13th,Jun
0,Feels Like Temperature,15,C, Feels ,15°C,Tue,13th,Jun
0,Wind Gust,13,mph,Wind Gust,13 mph,Tue,13th,Jun
0,Screen Relative Humidity,77,%,Humidity,77 %,Tue,13th,Jun
0,Precipitation Probability,1,%,Rain ,1 %,Tue,13th,Jun
0,Wind Speed,7,mph,Wind Speed ,7 mph,Tue,13th,Jun
0,Temperature,16,C, Temp,16°C,Tue,13th,Jun
0,Visibility,VG,,Visibility ,VG ,Tue,13th,Jun
0,Weather Type,1,,Weather Type ,1 ,Tue,13th,Jun
0,Max UV Index,1,,Max UV,1 ,Tue,13th,Jun
0,timestamp,2023-06-13 09:00:00,,timestamp ,Tue 13th Jun,Tue,13th,Jun
0,Wind Direction,ENE,compass, Wind Direction,ENE,Tue,13th,Jun
0,Feels Like Temperature,20,C, Feels ,20°C,Tue,13th,Jun
0,Wind Gust,18,mph,Wind Gust,18 mph,Tue,13th,Jun
0,Screen Relative Humidity,62,%,Humidity,62 %,Tue,13th,Jun
0,Precipitation Probability,1,%,Rain ,1 %,Tue,13th,Jun
0,Wind Speed,7,mph,Wind Speed ,7 mph,Tue,13th,Jun
0,Temperature,21,C, Temp,21°C,Tue,13th,Jun
0,Visibility,VG,,Visibility ,VG ,Tue,13th,Jun
0,Weather Type,1,,Weather Type ,1 ,Tue,13th,Jun
0,Max UV Index,5,,Max UV,5 ,Tue,13th,Jun
0,timestamp,2023-06-13 12:00:00,,timestamp ,Tue 13th Jun,Tue,13th,Jun
0,Wind Direction,E,compass, Wind Direction,E,Tue,13th,Jun
0,Feels Like Temperature,23,C, Feels ,23°C,Tue,13th,Jun
0,Wind Gust,22,mph,Wind Gust,22 mph,Tue,13th,Jun
0,Screen Relative Humidity,46,%,Humidity,46 %,Tue,13th,Jun
0,Precipitation Probability,2,%,Rain ,2 %,Tue,13th,Jun
0,Wind Speed,9,mph,Wind Speed ,9 mph,Tue,13th,Jun
0,Temperature,25,C, Temp,25°C,Tue,13th,Jun
0,Visibility,VG,,Visibility ,VG ,Tue,13th,Jun
0,Weather Type,1,,Weather Type ,1 ,Tue,13th,Jun
0,Max UV Index,8,,Max UV,8 ,Tue,13th,Jun
0,timestamp,2023-06-13 15:00:00,,timestamp ,Tue 13th Jun,Tue,13th,Jun
0,Wind Direction,E,compass, Wind Direction,E,Tue,13th,Jun
0,Feels Like Temperature,24,C, Feels ,24°C,Tue,13th,Jun
0,Wind Gust,20,mph,Wind Gust,20 mph,Tue,13th,Jun
0,Screen Relative Humidity,40,%,Humidity,40 %,Tue,13th,Jun
0,Precipitation Probability,3,%,Rain ,3 %,Tue,13th,Jun
0,Wind Speed,9,mph,Wind Speed ,9 mph,Tue,13th,Jun
0,Temperature,26,C, Temp,26°C,Tue,13th,Jun
0,Visibility,VG,,Visibility ,VG ,Tue,13th,Jun
0,Weather Type,1,,Weather Type ,1 ,Tue,13th,Jun
0,Max UV Index,5,,Max UV,5 ,Tue,13th,Jun
